	hek293t_1	hek293t_2	hela_1	hela_2
hsa-miR-1303	2662	2565	2004	3416
hsa-miR-1304-3p	0	0	1754	995
hsa-miR-1304-5p	579	531	641	512
hsa-miR-1305	598	707	613	855
hsa-miR-1306-3p	501	917	530	510
hsa-miR-1306-5p	4184	3596	2960	1452
hsa-miR-1307-3p	21112	41630	65484	73087
hsa-miR-1307-5p	28943	55548	23684	43891
hsa-miR-130a-3p	6	7	8227	15718
hsa-miR-130a-5p	0	0	206	263
hsa-miR-130b-3p	23390	17048	4090	9051
hsa-miR-130b-5p	5354	5783	3160	2018
hsa-miR-132-3p	4519	9575	11001	6892
hsa-miR-132-5p	467	1318	1269	997
hsa-miR-1322	16	47	1	1
hsa-miR-1323	0	0	1	1
hsa-miR-133a-3p	32	30	4	1
hsa-miR-133a-5p	5	3	0	0
hsa-miR-133b	3	0	1	0
hsa-miR-134-5p	1	4	2	3
hsa-miR-1343-3p	220	168	278	121
hsa-miR-1343-5p	2	3	127	75
hsa-miR-135a-3p	0	0	4	0
hsa-miR-135a-5p	16	9	7	7
hsa-miR-135b-3p	12	5	895	974
hsa-miR-135b-5p	187	83	20584	16697
hsa-miR-136-3p	0	0	4	3
hsa-miR-136-5p	0	0	1	0
hsa-miR-137	2	0	0	2
hsa-miR-138-1-3p	2	1	1	0
hsa-miR-138-2-3p	4	4	10	12
hsa-miR-138-5p	40	76	210	139
hsa-miR-139-3p	9	16	127	32
hsa-miR-139-5p	89	75	769	229
hsa-miR-140-3p	14425	17519	15712	34642
hsa-miR-140-5p	3376	3045	3182	4681
hsa-miR-141-3p	618	809	1192	792
hsa-miR-141-5p	8	4	34	6
hsa-miR-142-3p	80	157	88	94
hsa-miR-142-5p	23	16	28	14
hsa-miR-143-3p	6	13	54	33
hsa-miR-143-5p	0	0	1	0
hsa-miR-144-3p	5	5	26	30
hsa-miR-144-5p	0	1	2	8
hsa-miR-145-3p	2	1	5	1
hsa-miR-145-5p	7	8	61	15
hsa-miR-1468-3p	1	1	0	0
hsa-miR-1468-5p	89	131	65	73
